,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
2,,40.72234,-73.99283,New Museum ,,wikivoyage,red,235 Bowery ,http://www.newmuseum.org/ ,See,"Building designed by award winning Japanese office SANAA. Contemporary art - the 'I don't get it' kind. Temporary exhibitions, also a good bookshop and Sky Room with views (weekends only).","(40.72234, -73.99283)",,,,,,,,,"(40.72234, -73.99283)"
1,,40.71657,-73.99079,Lower East Side Visitor Center ,,wikivoyage,red,54 Orchard Street ,http://les.nyc/ ,See,,"(40.71657, -73.99079)",,,,,,,,,"(40.71657, -73.99079)"
0,,40.7185,-73.990139,Lower East Side Tenement Museum ,,wikivoyage,red,103 Orchard St. ,http://tenement.org/ ,See,,"(40.7185, -73.990139)",,,,,,,,,"(40.7185, -73.990139)"
0,,40.724,-73.9956,Mulberry Street Library ,,wikivoyage,red,10 Jersey St ,http://www.nypl.org/locations/mulberry-street ,Connect,,"(40.724, -73.9956)",,,,,,,,,"(40.724, -73.9956)"
5,,40.71953,-73.99485,Sohotel ,,wikivoyage,red,341 Broome St ,http://thesohotel.com/ ,Sleep,"Billing itself as ""the oldest running hotel"" in the city (the building has been housing a hotel for over a hundred years), the hotel is in an old building with rooms with hardwood floors and exposed brick walls, giving it a pretty unique feel. Lots of in-room amenities, although reviewers have noted issues with noise and cold showers.","(40.71953, -73.99485)",,,,,,,,,"(40.71953, -73.99485)"
4,,40.71667,-73.99494,Comfort Inn Manhattan Bridge ,,wikivoyage,red,61-63 Chrystie St ,https://www.choicehotels.com/new-york/new-york/comfort-inn-hotels/ny355?source,Sleep,"Standard chain hotel, with Wi-Fi, decent breakfast, and pets allowed for a fee. Reviewers often note friendly service.","(40.71667, -73.99494)",,,,,,,,,"(40.71667, -73.99494)"
3,,40.71232,-73.99272,Comfort Inn Lower East Side ,,wikivoyage,red,154 Madison Street ,https://www.choicehotels.com/new-york/new-york/comfort-inn-hotels/ny551 ,Sleep,"If New York hotel prices have made you resort to sleeping under a bridge, this may as well be your choice (pardon the pun), as it consistently ranks as one of the lowest-priced decent hotels in the city, and is also almost literally located under the Manhattan Bridge. The location is a bit remote and not quite charming, but the hotel does not lack anything in its limited-service standards, although it is on the small side with only 43 rooms and most facilities sized to match.","(40.71232, -73.99272)",,,,,,,,,"(40.71232, -73.99272)"
2,,40.722,-73.99377,The Bowery House ,,wikivoyage,red,220 Bowery ,http://theboweryhouse.com/ ,Sleep,"Shared bathrooms, roof ""garden"", and bike rental.","(40.722, -73.99377)",,,,,,,,,"(40.722, -73.99377)"
1,,40.7189,73.9942,The Bowery Grand Hotel ,,wikivoyage,red,"143 Bowery, New York ",http://bowerygrandhotel.com/ ,Sleep,"Rock bottom accommodation. Single rooms are smaller than the size of a double bed, and the place is not exactly sparkling. Rooms have no roof, so there is no privacy, and you can hear everyone else packed in inches away from you. Wifi is slow. But you can't beat the price.","(40.7189, 73.9942)",,,,,,,,,"(40.7189, 73.9942)"
0,,40.71843,-73.99527,Best Western Bowery Hanbee ,,wikivoyage,red,231 Grand St ,http://www.bw-boweryhanbeehotel.com/ ,Sleep,"A fairly typical Best Western, with Wi-Fi and complimentary breakfast, in a good location.","(40.71843, -73.99527)",,,,,,,,,"(40.71843, -73.99527)"
2,,40.7124,-73.9941,Mr. Fong's ,,wikivoyage,red,40 Market St ,http://www.mrfongs.com/ ,Drink,"This local bar is pretty chill on the weekdays, but it can get packed on the weekends. Chinese-inspired cocktails & bar bites, plus a jukebox.","(40.7124, -73.9941)",,,,,,,,,"(40.7124, -73.9941)"
1,,40.71511,-73.99753,Vivi Bubble Tea ,,wikivoyage,red,49 Bayard St ,http://www.vivibubbletea.com/ ,Drink,"A small (with a grand total of three seats) but very popular branch of this bubble tea shop chain, with inexpensive drinks and some rather quirky decorations, like Homer Simpson sitting on a bench out front and little coin-operated prize machines to entertain you while you wait in line. The tea can have a weird chemical taste and also be kind of dilute at the same time; your mileage may vary.","(40.71511, -73.99753)",,,,,,,,,"(40.71511, -73.99753)"
0,,40.71655,-73.99819,Ten Ren Tea Time ,,wikivoyage,red,79 Mott St ,https://www.tenren.com/new-york.html ,Drink,"Some of the best bubble tea in town, but price is slightly towards the expensive side compared to other bubble tea stores in the neighborhood.","(40.71655, -73.99819)",,,,,,,,,"(40.71655, -73.99819)"
4,,40.7144,-73.9986,Ping's Seafood ,,wikivoyage,red,22 Mott St ,https://www.eatatpings.com ,Eat_Dim Sum,"Medium priced, but according to some, the best dim sum in Chinatown (others vehemently disagree). They have exotic offerings such as calamari and sugar cane shrimp.","(40.7144, -73.9986)",,,,,,,,,"(40.7144, -73.9986)"
3,,40.7144,-73.9983,Nom Wah Tea Parlor ,,wikivoyage,red,13 Doyers St ,http://nomwah.com/ ,Eat_Dim Sum,"Nom Wah was the first dim sum parlor in New York, opening in 1920. In 2011, they renovated, sprucing up the interior but leaving most of the old-fashioned feeling intact. A few new dishes were added, but the core of Nom Wah's menu remains Cantonese. They serve dim sum all day. Unfortunately, the quality of the items is not consistent.","(40.7144, -73.9983)",,,,,,,,,"(40.7144, -73.9983)"
2,,40.7187,-74.0011,Jing Fong ,,wikivoyage,red,202 Centre St ,http://jingfongny.com/ ,Eat_Dim Sum,"It used to be housed in a huge eating hall on Elizabeth St. but moved into smaller quarters in 2021. The quality of the food is generally acceptable, if not refined, but it is best when fresh from the kitchen. They also have a new branch as of 2022 at 380 Amsterdam Ave at 78th St. on the [[Manhattan/Upper West Side","(40.7187, -74.0011)",,,,,,,,,"(40.7187, -74.0011)"
1,,40.71365,-73.99713,Golden Unicorn ,,wikivoyage,red,18 East Broadway ,http://www.goldenunicornrestaurant.com/ ,Eat_Dim Sum,"Occupies a few floors. There is a bit more decor than at Jing Fong and the prices are a bit higher. Unfortunately, the food is mediocre.","(40.71365, -73.99713)",,,,,,,,,"(40.71365, -73.99713)"
0,,40.71327,-73.99774,Dim Sum Go Go ,,wikivoyage,red,5 East Broadway , ,Eat_Dim Sum,"More expensive than the average Chinatown restaurant and catering to a mixed clientèle of Chinese and non-Chinese, it is many connoisseurs' favorite spot for dim sum in Chinatown. All the food is made to order; no carts. Some of their non-dim sum items are also good. Dumplings are mostly excellent — tasty, with a good texture and thin wrapper — but there have been some problems in the past with overly doughy buns that then got mushy from condensation, so you might consider avoiding those.","(40.71327, -73.99774)",,,,,,,,,"(40.71327, -73.99774)"
0,,40.71902,-73.997,Nyonya ,,wikivoyage,red,199 Grand St ,http://www.ilovenyonya.com/ ,Eat_Splurge,"This restaurant is part of a small chain with other Nyonya and Penang restaurants and is popular and crowded on weekends. Their roti canai is good. One word of warning, though: If you are looking for food like you had on your visit to Kuala Lumpur, for the most part, you won't get it here. Instead, you are likely to get very watered-down, Americanized versions of most of their Malaysian dishes. Expect to spend around $25/person for dinner.","(40.71902, -73.997)",,,,,,,,,"(40.71902, -73.997)"
2,,40.71727,-73.99722,Shanghai Cafe Deluxe ,,wikivoyage,red,100 Mott St ,http://www.shanghaicafedeluxe.com/ ,Eat_Mid-range,"Can make the best Shanghainese food in Chinatown, but has some consistency problems. Many young Chinese-American couples have dates there. Do not be shocked if the check is delivered to you unbidden, but don't feel that it must be paid right away. It's easy to have a sizable meal here for around $15 and possible to eat here for less. ""Temporarily closed for renovations"" per their website as of June 2024.","(40.71727, -73.99722)",,,,,,,,,"(40.71727, -73.99722)"
1,,40.71444,-73.99854,Ping's Seafood ,,wikivoyage,red,22 Mott St , ,Eat_Mid-range,Good seafood restaurant especially the seafood pan-fried noodles & calamari. Also has dim sum. This place can get very crowded during weekend dinner.,"(40.71444, -73.99854)",,,,,,,,,"(40.71444, -73.99854)"
0,,40.72155,-73.99562,Lombardi's Pizza ,,wikivoyage,red,32 Spring St ,http://www.firstpizza.com/ ,Eat_Mid-range,"The establishment in its current incarnation was opened in 1994, but describes itself as a continuation of ""America's first pizzeria"" (established in 1905). Their coal oven pizza is served by the pie, not the slice. Many New Yorkers think it has coasted off its prior reputation for years, but tourists can sometimes be seen lined up outside the door.","(40.72155, -73.99562)",,,,,,,,,"(40.72155, -73.99562)"
2,,40.71443,-73.9989,Hop Kee Restaurant ,,wikivoyage,red,21 Mott St ,http://www.hop-kee-nyc.com/ ,Eat_Mid-range,"A decades-old Cantonese restaurant with classic dishes (Roast Pork Lo Mein, etc.) Open late on weekends (until 4AM), but like many other Chinatown restaurants, cash only.","(40.71443, -73.9989)",,,,,,,,,"(40.71443, -73.9989)"
1,,40.72157,-73.99721,Eileen's Special Cheesecake ,,wikivoyage,red,17 Cleveland Pl ,http://www.eileenscheesecake.com/ ,Eat_Mid-range,"Some of the best cheesecake in the city, with individual-sized slices so that you can sample multiple flavors.","(40.72157, -73.99721)",,,,,,,,,"(40.72157, -73.99721)"
0,,40.71516,-73.9976,Cafe Hong Kong ,,wikivoyage,red,51 Bayard St , ,Eat_Mid-range,"This restaurant was opened in 2013 by personnel from the defunct South China Garden, which used to be around the corner on Mott St. The portions are large and the food is delicious. This is in the estimation of many people the best Cantonese restaurant in Chinatown right now, and best to go to with at least a couple of friends and a big appetite, so that you can share a few dishes. If you like chicken, get the garlic fried chicken, which is one of their standout dishes.","(40.71516, -73.9976)",,,,,,,,,"(40.71516, -73.9976)"
9,,40.71674,-73.99815,Tai Pan Bakery ,,wikivoyage,red,194 Canal St ,https://www.taipanbakery.com/ ,Eat_Budget,"This bakery store offers numerous Chinese breads, delicacies, and both hot and cold beverages/snacks. It shares its name with a popular bakery store chain in Hong Kong.","(40.71674, -73.99815)",,,,,,,,,"(40.71674, -73.99815)"
8,,40.717,-73.9934,Spicy Village ,,wikivoyage,red,68 Forsyth St , ,Eat_Budget,"This very informal eatery across the street from Sara Delano Roosevelt Park serves food from the province of [[Henan]]. All items are good, but the highlight is the Spicy Big Tray Chicken ($12.95), a very large soupy, stewy bowl of flavor, including cumin seeds and a generous helping of potatoes, that's not quite like any other style of Chinese food. Take at least one friend with you if you can, so you can share the chicken and some cold dishes. The proprietress is very nice.","(40.717, -73.9934)",,,,,,,,,"(40.717, -73.9934)"
7,,40.71514,-73.99369,New Sheng Wang ,,wikivoyage,red,27 Eldridge St ,http://www.shengwangnyc.com/ ,Eat_Budget,"This is a very cheap place to eat, as you can easily fill up on a single dish. For example, their standout dish is 10 steamed pork dumplings for $3. Some dumpling connoisseurs consider Sheng Wang's dumplings the best in Chinatown today. Most of the rest of their dishes are noodle soups with hand pulled or peeled noodles made in house, and be warned that for a single person, trying to eat an order of dumplings plus a bowl of noodle soup is likely to be quite excessive. Also, one type of tripe they use in soups can be overly chewy. But you can't beat the value.","(40.71514, -73.99369)",,,,,,,,,"(40.71514, -73.99369)"
6,,40.71413,-73.99893,Noodle Village ,,wikivoyage,red,13 Mott St ,http://www.noodlevillage.com/ ,Eat_Budget,"This is a very good restaurant and a good value. They serve their noodles nicely al dente and use good roast pork and roast duck. Their vegetables are fresh, too. Excellent rice dishes and casseroles, too — for example, they make a delicious spicy curried oxtail rice dish.","(40.71413, -73.99893)",,,,,,,,,"(40.71413, -73.99893)"
5,,40.71394,-73.99652,iM Star Cafe ,,wikivoyage,red,19 Division St , ,Eat_Budget,"Small restaurant decorated with caricatures of Hong Kong celebrities on the walls. If you hit the morning stream of customers, you'll definitely have to wait for a seat since their breakfast is... to die for! Extremely cheap! This restaurant is the best restaurant to eat at if you're looking for something similar to the diners in Hong Kong. A mix of Chinese and American tastes. Definitely try their French toast, pan fried rice noodle, and iced milk tea!","(40.71394, -73.99652)",,,,,,,,,"(40.71394, -73.99652)"
4,,40.71468,-73.99778,Joe's Shanghai ,,wikivoyage,red,46 Bowery ,http://www.joeshanghairestaurants.com/ ,Eat_Budget,"This is the most famous of the Shanghainese restaurants in Chinatown, but not the best. Like most every other Shanghainese restaurant, it serves the popular ""soup dumplings"" (xiaolong bao in Chinese) which contain either pork or crab+pork with soup all within a dumpling. However, due to its popularity, here are some tips: Don't wait on line, go only at odd hours and order adventurously (get things like eel).","(40.71468, -73.99778)",,,,,,,,,"(40.71468, -73.99778)"
3,,40.715,-73.99711,Great NY Noodletown ,,wikivoyage,red,28 Bowery ,http://www.greatnynoodletown.net/ ,Eat_Budget,"This restaurant, which is open late, has the feel of a Chinese diner. It can be very crowded at peak hours. Try the noodle soups ($5.25-7.95) and congees ($2.50-8.50), the ginger-scallion lo mein ($5.50), the barbecued items, and the salt baked dishes, but don't neglect the less inexpensive specials, like the dishes with chives or pea shoots (around $11.95-15.95, with different charges depending on choice of beef, chicken, shrimp, scallops, etc.).","(40.715, -73.99711)",,,,,,,,,"(40.715, -73.99711)"
2,,40.7142,-73.9937,Fong On ,,wikivoyage,red,81 Division St ,https://fongon.net/ ,Eat_Budget,"This family-run shop has been serving elaborate Chinese-style tofu pudding since 1933. Sweet or savory toppings available. If you've never tried tofu pudding before, it's worth having: surprisingly flavorful and different from other kinds of tofu you might be more familiar with. The shop also sells other Chinese snacks and drinks like sticky rice cakes, grass jelly, and herbal tea. Nearly everything is vegan (you can ask them to leave off the dried shrimps from the savory pudding).","(40.7142, -73.9937)",,,,,,,,,"(40.7142, -73.9937)"
1,,40.71667,-73.99808,Fay Da Bakery ,,wikivoyage,red,83 Mott St ,http://www.fayda.com/ ,Eat_Budget,"This bakery offers a wide assortment of traditional and fusion buns, pastries, cakes, as well as an assortment of drinks and bubble teas. All their buns are freshly baked every morning so the quality and consistency is always there. It's a self-serve bakery so you can easily pick and choose while taking your time.","(40.71667, -73.99808)",,,,,,,,,"(40.71667, -73.99808)"
0,,40.71537,-73.99816,Chinatown Ice Cream Factory ,,wikivoyage,red,65 Bayard St ,https://www.chinatownicecreamfactory.com/ ,Eat_Budget,"Enjoy the ""regular"" flavors like taro, green tea, lychee, black sesame, mango, and coconut (or the ""exotic"" flavors like strawberry, vanilla...), and don't neglect the sorbets. The owner also experiments and creates new flavors. Even though there is a Haagen Dazs down the street from this ice cream store, Chinatown Ice Cream Factory is the go-to place for ice cream when you visit Chinatown. On a nice, sunny day, you'll most likely find a long line of customers outside the store waiting to purchase their ice cream. That is how popular this store is. If you really like the ice cream, you may purchase one of their Chinatown Ice Cream Factory t-shirts.","(40.71537, -73.99816)",,,,,,,,,"(40.71537, -73.99816)"
1,,40.71579,-73.99864,Bo Ky ,,wikivoyage,red,80 Bayard St ,http://bokynyc.com/ ,Eat_Budget,"Very inexpensive food, reliable soups that are especially welcome in cold weather. Very quick service. They have side dishes of offal (pig's ears, etc.) for those who like them. They are also known for their Teochew country-style duck. There is another branch with an identical menu at 216 Grand St., between Mott and Elizabeth. Cash only.","(40.71579, -73.99864)",,,,,,,,,"(40.71579, -73.99864)"
0,,40.71931,-73.99669,Banh Mi Saigon Bakery ,,wikivoyage,red,198 Grand St , ,Eat_Budget,"This is in back of a jewelry and gem shop; no kidding! Both the Banh Mi Saigon (pork) and Banh Mi Ga (chicken) sandwiches are fantastic. Get them to go and eat them in a nearby park such as the one on the corner of Spring and Mulberry, a few blocks north and one block west. Note: Do not confuse this place with Saigon Banh Mi So at 369 Broome St, which serves sandwiches that are fine but nowhere near as good.","(40.71931, -73.99669)",,,,,,,,,"(40.71931, -73.99669)"
2,,40.7136,-73.9941,2 Bridges Music Arts ,,wikivoyage,red,75 E Broadway #205 ,http://2bridgesnyc.net/ ,Buy_Book stores,"2 Bridges Music Arts sells new and used records, tapes and books while staging exhibitions and events from their post in a Chinatown mall. The space is meant to host overlapping tendencies in experimental music, art and knowledge production internationally.","(40.7136, -73.9941)",,,,,,,,,"(40.7136, -73.9941)"
1,,40.7233,-73.9961,McNally Jackson Books ,,wikivoyage,red,52 Prince St ,http://mcnallyjackson.com ,Buy_Book stores,"Formerly McNally Robinson Booksellers, this independent bookstore features an extensive collection of magazines, fiction, and nonfiction. The store also features a cafe, as well as a number of ongoing events, signings, book clubs and discussion groups.","(40.7233, -73.9961)",,,,,,,,,"(40.7233, -73.9961)"
0,,40.7138,-73.9909,Aeon Bookstore ,,wikivoyage,red,151 E Broadway ,https://www.aeonbookstore.com/ ,Buy_Book stores,"This subterranean bookstore is a neighborhood gem, with a carefully curated selection of books. The books are fairly prices and cover a range of topics, such as philosophy, art, culture, history, mysticism, and esoterica.","(40.7138, -73.9909)",,,,,,,,,"(40.7138, -73.9909)"
5,,40.71682,-73.99838,New Kam Man ,,wikivoyage,red,200 Canal St ,https://www.facebook.com/New-Kam-Man-465317226865985/ ,Buy_Groceries and food to go,,"(40.71682, -73.99838)",,,,,,,,,"(40.71682, -73.99838)"
4,,40.71844,-73.99599,Malaysia Beef Jerky ,,wikivoyage,red,95A Elizabeth St ,https://malaysiabeefjerky.com/ ,Buy_Groceries and food to go,"This is not a cheap snack, but their chicken and beef jerky are excellent and come in spicy and regular varieties. Unlike American-style jerky, Malaysian-style jerky is moist. Its sugar content may surprise you, so low-carb dieters, beware! There is nowhere to sit inside the store, so business is strictly for takeout.","(40.71844, -73.99599)",,,,,,,,,"(40.71844, -73.99599)"
3,,40.71802,-73.99626,Deluxe Food Market ,,wikivoyage,red,79 Elizabeth St , ,Buy_Groceries and food to go,"This humongous store has almost anything you can think of and more, both raw and prepared. Seriously; go and see.","(40.71802, -73.99626)",,,,,,,,,"(40.71802, -73.99626)"
2,,40.71454,-73.9994,Bangkok Center Grocery ,,wikivoyage,red,104 Mosco St ,http://www.bangkokcentergrocery.com/ ,Buy_Groceries and food to go,"This modest-sized store contains a large quantity of Thai goods of various descriptions, and also sells inexpensive prepared sweet and savory items. Friendly, helpful service.","(40.71454, -73.9994)",,,,,,,,,"(40.71454, -73.9994)"
1,,40.71621,-73.9994,Asia Market ,,wikivoyage,red,71 Mulberry St , ,Buy_Groceries and food to go,"Renovated several years ago from a dusty, old grocery store with tight aisles and rusty shelves into a brighter, more spacious store with a wider selection of goods, Asia Market supplies a variety of Asian ingredients, snacks, and drinks. Usually the difficult, hard to find Southeast Asian ingredients will most likely be available at this store. Even if something you want isn't available, the staff here is very friendly. You may leave the brand name of the product you want and they may try to order it for you. There is also a vegetable and fruit stand outside the store. Basically, this may be your one-stop store to shop for everything. One good example of the products this store has is fresh kaffir lime leaves.","(40.71621, -73.9994)",,,,,,,,,"(40.71621, -73.9994)"
0,,40.71502,-73.99899,Aji Ichiban ,,wikivoyage,red,37 Mott St , ,Buy_Groceries and food to go,"Hong Kong snack shop, very popular with locals and tourists alike. The staff are friendly and give samples.","(40.71502, -73.99899)",,,,,,,,,"(40.71502, -73.99899)"
0,,40.71603,-73.99757,Elizabeth Center ,,wikivoyage,red,15 Elizabeth Center , ,Buy,"If you want to purchase cute Asian accessories or dolls, Elizabeth Center (also known as EC, for short), is the right place for you to shop. Once you enter, go down the escalator and all the shops downstairs sell cute Asian merchandise. If you want to take sticker pictures, EC has it too. It's on the first level in the far left corner of the building.","(40.71603, -73.99757)",,,,,,,,,"(40.71603, -73.99757)"
1,,40.7193,-73.9976,Italian American Museum ,,wikivoyage,red,151 Mulberry St ,https://www.italianamericanmuseum.org/ ,See_Museums,,"(40.7193, -73.9976)",,,,,,,,,"(40.7193, -73.9976)"
0,,40.714822,-73.993861,Museum at Eldridge Street ,,wikivoyage,red,12 Eldridge St ,https://www.eldridgestreet.org/ ,See_Museums,"The museum, a non-sectarian cultural organization based in the restored 1887 National Historic Landmark Eldridge Street Synagogue, presents the culture, history and traditions of the great wave of Jewish immigrants to the Lower East Side drawing parallels with the diverse cultural communities that have settled in America. The museum offers guided tours of the synagogue, new exhibits and programs -- including concerts, neighborhood walking tours and film screenings.","(40.714822, -73.993861)",,,,,,,,,"(40.714822, -73.993861)"
0,,40.716111,-73.999444,Museum of Chinese in the Americas ,,wikivoyage,red,215 Centre St ,https://www.mocanyc.org/ ,See_Museums,Exhibits on the history and culture of Chinese-Americans.,"(40.716111, -73.999444)",,,,,,,,,"(40.716111, -73.999444)"
1,,40.71538,-74.00007,Columbus Park ,,wikivoyage,red,Bayard St ,http://www.nycgovparks.org/parks/M015 ,See_Parks and squares,"An excellent place to relax and people-watch. Early in the mornings, people practice their tai-chi there. If you're interested, some of these people might teach you a little bit of it. At times, there are a group of women practicing the traditional Chinese fhan dances. Also, usually in the summer time there are basketball tournaments one may either participate in or watch. In the afternoon when school is out, many adolescents hang out in this park.","(40.71538, -74.00007)",,,,,,,,,"(40.71538, -74.00007)"
0,,40.7136,-73.9981,Chatham Square ,,wikivoyage,red, ,http://www.nycgovparks.org/parks/kimlausquare ,See_Parks and squares,"At this square at the confluence of several major streets, there is a memorial archway to Chinese-Americans who died in World War II which has some interesting calligraphy. Also in the square is a statue of Lin Zexu, a Chinese scholar who opposed the opium trade in the 19th century.","(40.7136, -73.9981)",,,,,,,,,"(40.7136, -73.9981)"
0,,40.722,-74.0044,Soho Grand Hotel ,,wikivoyage,red,310 West Broadway ,http://www.sohogrand.com ,Sleep,"The Soho Grand Hotel is a pet-friendly boutique hotel, featuring 353 guest rooms, ten suites, and two sprawling penthouses.","(40.722, -74.0044)",,,,,,,,,"(40.722, -74.0044)"
0,,40.7259,-74.0095,The Ear Inn ,,wikivoyage,red,326 Spring St ,https://www.theearinn.com/ ,Drink,"Located on the ground floor of the James Brown House, the Ear Inn is one of the oldest bars in New York.","(40.7259, -74.0095)",,,,,,,,,"(40.7259, -74.0095)"
4,,40.725,-74.0033,St Tropez ,,wikivoyage,red,194 Spring St ,https://sttropezwinebar.com/soho/ ,Eat,French bistro and wine bar.,"(40.725, -74.0033)",,,,,,,,,"(40.725, -74.0033)"
3,,40.7262,-74.0019,Il Corallo Trattoria ,,wikivoyage,red,176 Prince St ,https://www.ilcorallotrattoria.com/ ,Eat,"Il Corallo offers an extensive menu of pasta, pizza, antipasto, and salads. You will find unfamiliar yet tasty dishes. It's a small, unpretentious place with efficient, friendly service. Both locals and visitors dine here.","(40.7262, -74.0019)",,,,,,,,,"(40.7262, -74.0019)"
2,,40.7249,-74.0024,Famous Ben's Pizza ,,wikivoyage,red,177 Spring St ,http://www.famousbenspizzaofsoho.com/ ,Eat,"Famous Ben's Pizza is one of the oldest and best pizza places in SoHo. Some people get taken on a pizza tour here. It is a small place with few tables, but the environment fits New York perfectly. You can watch as they make the pizza, and lines are usually out the door. Their pizza doesn't cost a lot. If you are just looking for a quick and simple meal while you are out shopping, Famous Ben's is a great place to consider. They deliver, too.","(40.7249, -74.0024)",,,,,,,,,"(40.7249, -74.0024)"
1,,40.726611,-73.999915,Dos Caminos ,,wikivoyage,red,475 West Broadway ,http://www.doscaminos.com/venues/soho/ ,Eat,One of four up-market Mexican restaurants in Manhattan by the same name and under the same ownership (the other's are in [[Manhattan/Gramercy Flatiron,"(40.726611, -73.999915)",,,,,,,,,"(40.726611, -73.999915)"
0,,40.7226,-73.9983,Balthazar ,,wikivoyage,red,80 Spring St ,http://www.balthazarny.com ,Eat,"Balthazar has the feel and quality of a good Parisian brasserie. Though informal and relaxed in feel, it is not inexpensive; however, many New Yorkers and visitors alike find it a worthwhile experience. Brunch is especially popular there, so unless you plan to show up for an early breakfast, make sure you make reservations; you don't want to be one of the people waiting on line for an hour or more, just to get in.","(40.7226, -73.9983)",,,,,,,,,"(40.7226, -73.9983)"
5,,40.7214,-73.9999,Topshop ,,wikivoyage,red,478 Broadway ,http://us.topshop.com ,Buy,"Topshop is a women's clothing store that carries all types of clothing. It carries maternity clothing, designers, boutiques, and all sizes. The clothing is really fashion forward, and there have accessories.  The main warehouse is in England.  You can buy online or go to the store, which has two floors and an escalator. The prices vary, but they tend to run a little bit more on the high side. Items mostly vary from around $50-$90.","(40.7214, -73.9999)",,,,,,,,,"(40.7214, -73.9999)"
4,,40.7216111,-74.0000212,Sour Patch Kids Store ,,wikivoyage,red,665 Broadway ,http://www.sourpatchkids.com ,Buy,"A candy store themed to the popular candy Sour Patch Kids formerly known as ""It'Sugar"".","(40.7216111, -74.0000212)",,,,,,,,,"(40.7216111, -74.0000212)"
3,,40.7245,-74.0014,LF Stores ,,wikivoyage,red,149 Spring St ,http://www.lfstores.com ,Buy,"LF Stores is not very big or well known, but it carries some unique items, such that celebrities have shopped here. The prices are a little bit on the high side, depending on the item  for example, shirts cost about $50-200. The service is wonderful, and the staff is very helpful. Aside from clothing, there are such accessories as jewelry, scarfs, hats, and shoes. The outside of the narrow building is tan, and there is a doorman.","(40.7245, -74.0014)",,,,,,,,,"(40.7245, -74.0014)"
2,,40.7235,-73.998,Uniqlo ,,wikivoyage,red,546 Broadway ,http://www.uniqlo.com ,Buy,A Japanese clothing store for men and women. This location used to be the retail chain's only North American store.,"(40.7235, -73.998)",,,,,,,,,"(40.7235, -73.998)"
1,,40.7214,-74.0005,Pearl River Mart ,,wikivoyage,red,477 Broadway ,http://www.pearlriver.com ,Buy,"Vast store of Chinese and other Asian goods: kitchenware, traditional clothing, home furnishing, tea.","(40.7214, -74.0005)",,,,,,,,,"(40.7214, -74.0005)"
0,,40.7245,-74.0027,Kee's Chocolates ,,wikivoyage,red,80 Thompson St ,http://www.keeschocolates.com ,Buy,"Kee is widely considered by chocolate-lovers to be one of the best artisanal chocolatiers in New York. Anyone who likes chocolate will find some of her creations interesting and enjoyable. Among her truffles are balsamic, fennel, smoked salt, and Thai chili, as well as less unusual flavors like almond and hazelnut praline.","(40.7245, -74.0027)",,,,,,,,,"(40.7245, -74.0027)"
2,,40.7223,-74.0029,The Performing Garage ,,wikivoyage,red,33 Wooster St ,http://thewoostergroup.org ,Do,Off-Broadway theater that is the permanent home of experimental theater company the Wooster Group.,"(40.7223, -74.0029)",,,,,,,,,"(40.7223, -74.0029)"
1,,40.7251,-74.0049,Here Arts Center ,,wikivoyage,red,145 6th Ave ,http://www.here.org ,Do,Performing arts venue.,"(40.7251, -74.0049)",,,,,,,,,"(40.7251, -74.0049)"
0,,40.7284,-74.0043,Film Forum ,,wikivoyage,red,209 W Houston St ,http://www.filmforum.org ,Do,"A stylish theater that runs two programs—contemporary independent releases and classic repertory films. While the current releases are almost always interesting and worth seeing, it's the repertory programming schedule that filmlovers anticipate eagerly.","(40.7284, -74.0043)",,,,,,,,,"(40.7284, -74.0043)"
2,,40.726,-73.9999,New York Earth Room ,,wikivoyage,red,141 Wooster St ,https://www.diaart.org/visit/visit/walter-de-maria-the-new-york-earth-room-new-york-united-states/ ,See,"Designed by Walter De Maria for the Dia Art Foundation, the Earth Room is a whole floor filled with 250 cubic yards of dirt.","(40.726, -73.9999)",,,,,,,,,"(40.726, -73.9999)"
1,,40.72512,-74.00174,Sonnabend Gallery ,,wikivoyage,red,420 W Broadway ,http://sonnabendgallery.com ,See,"Specializes in contemporary art including paintings, sculptures, and photography by American and European artists. Past artists have included: Lawrence Beck, Robert Feintuch, Jeff Koons, Grazia Toderi, Philip Haas, Barry Le Va, Anne and Patrick Poirier, and more.","(40.72512, -74.00174)",,,,,,,,,"(40.72512, -74.00174)"
0,,40.7256,-74.0069,New York City Fire Museum ,,wikivoyage,red,278 Spring St ,http://www.nycfiremuseum.org ,See,"Closed until further notice. Housed in a restored 1904 firehouse, the NYC Fire Museum covers the history of fire fighting in the United States from the 18th century to the present. Displays include antique aparatus, uniforms and equipment, as well as an apartment fire simulator.","(40.7256, -74.0069)",,,,,,,,,"(40.7256, -74.0069)"
2,,40.7275,-74.0081,Children's Museum of the Arts ,,wikivoyage,red,103 Charlton St ,http://cmany.org ,See,Art and interactive exhibits geared towards children.,"(40.7275, -74.0081)",,,,,,,,,"(40.7275, -74.0081)"
